coduf;sigla;cod_cgrs;nome_cgrs;cod_munic;nome_munic
11;RO;11001;RS Vale do Jamari;110002;Ariquemes
11;RO;11001;RS Vale do Jamari;110013;Machadinho D Oeste
11;RO;11001;RS Vale do Jamari;110026;Rio Crespo
11;RO;11001;RS Vale do Jamari;110040;Alto Paraíso
11;RO;11001;RS Vale do Jamari;110045;Buritis
11;RO;11001;RS Vale do Jamari;110060;Cacaulândia
11;RO;11001;RS Vale do Jamari;110070;Campo Novo de Rondônia
11;RO;11001;RS Vale do Jamari;110094;Cujubim
11;RO;11001;RS Vale do Jamari;110140;Monte Negro
11;RO;11002;RS Café;110004;Cacoal
11;RO;11002;RS Café;110009;Espigão D Oeste
11;RO;11002;RS Café;110018;Pimenta Bueno
11;RO;11002;RS Café;110120;Ministro Andreazza
11;RO;11002;RS Café;110147;Primavera de Rondônia
11;RO;11002;RS Café;110148;São Felipe D Oeste
11;RO;11003;RS Central;110011;Jaru
11;RO;11003;RS Central;110012;Ji-Paraná
11;RO;11003;RS Central;110015;Ouro Preto do Oeste
11;RO;11003;RS Central;110025;Presidente Médici
11;RO;11003;RS Central;110032;São Miguel do Guaporé
11;RO;11003;RS Central;110034;Alvorada D Oeste
11;RO;11003;RS Central;110100;Governador Jorge Teixeira
11;RO;11003;RS Central;110130;Mirante da Serra
11;RO;11003;RS Central;110143;Nova União
11;RO;11003;RS Central;110155;Teixeirópolis
11;RO;11003;RS Central;110160;Theobroma
11;RO;11003;RS Central;110170;Urupá
11;RO;11003;RS Central;110175;Vale do Anari
11;RO;11003;RS Central;110180;Vale do Paraíso
11;RO;11004;RS Madeira-Mamoré;110010;Guajará-Mirim
11;RO;11004;RS Madeira-Mamoré;110020;Porto Velho
11;RO;11004;RS Madeira-Mamoré;110033;Nova Mamoré
11;RO;11004;RS Madeira-Mamoré;110080;Candeias do Jamari
11;RO;11004;RS Madeira-Mamoré;110110;Itapuã do Oeste
11;RO;11005;RS Zona da Mata;110001;Alta Floresta D Oeste
11;RO;11005;RS Zona da Mata;110014;Nova Brasilândia D Oeste
11;RO;11005;RS Zona da Mata;110028;Rolim de Moura
11;RO;11005;RS Zona da Mata;110029;Santa Luzia D Oeste
11;RO;11005;RS Zona da Mata;110037;Alto Alegre dos Parecis
11;RO;11005;RS Zona da Mata;110050;Novo Horizonte do Oeste
11;RO;11005;RS Zona da Mata;110090;Castanheiras
11;RO;11005;RS Zona da Mata;110145;Parecis
11;RO;11006;RS Cone Sul;110003;Cabixi
11;RO;11006;RS Cone Sul;110005;Cerejeiras
11;RO;11006;RS Cone Sul;110006;Colorado do Oeste
11;RO;11006;RS Cone Sul;110007;Corumbiara
11;RO;11006;RS Cone Sul;110030;Vilhena
11;RO;11006;RS Cone Sul;110092;Chupinguaia
11;RO;11006;RS Cone Sul;110146;Pimenteiras do Oeste
11;RO;11007;RS Vale do Guaporé;110008;Costa Marques
11;RO;11007;RS Vale do Guaporé;110149;São Francisco do Guaporé
11;RO;11007;RS Vale do Guaporé;110150;Seringueiras
12;AC;12001;RS Alto Acre;120005;Assis Brasil
12;AC;12001;RS Alto Acre;120010;Brasiléia
12;AC;12001;RS Alto Acre;120025;Epitaciolândia
12;AC;12001;RS Alto Acre;120070;Xapuri
12;AC;12002;RS Baixo Acre e Purus;120001;Acrelândia
12;AC;12002;RS Baixo Acre e Purus;120013;Bujari
12;AC;12002;RS Baixo Acre e Purus;120017;Capixaba
12;AC;12002;RS Baixo Acre e Purus;120032;Jordão
12;AC;12002;RS Baixo Acre e Purus;120034;Manoel Urbano
12;AC;12002;RS Baixo Acre e Purus;120038;Plácido de Castro
12;AC;12002;RS Baixo Acre e Purus;120040;Rio Branco
12;AC;12002;RS Baixo Acre e Purus;120043;Santa Rosa do Purus
12;AC;12002;RS Baixo Acre e Purus;120045;Senador Guiomard
12;AC;12002;RS Baixo Acre e Purus;120050;Sena Madureira
12;AC;12002;RS Baixo Acre e Purus;120080;Porto Acre
12;AC;12003;RS Juruá e Tarauacá/Envira;120020;Cruzeiro do Sul
12;AC;12003;RS Juruá e Tarauacá/Envira;120030;Feijó
12;AC;12003;RS Juruá e Tarauacá/Envira;120033;Mâncio Lima
12;AC;12003;RS Juruá e Tarauacá/Envira;120035;Marechal Thaumaturgo
12;AC;12003;RS Juruá e Tarauacá/Envira;120039;Porto Walter
12;AC;12003;RS Juruá e Tarauacá/Envira;120042;Rodrigues Alves
12;AC;12003;RS Juruá e Tarauacá/Envira;120060;Tarauacá
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130030;Autazes
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130040;Barcelos
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130110;Careiro
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130115;Careiro da Várzea
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130185;Iranduba
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130255;Manaquiri
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130260;Manaus
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130310;Nova Olinda do Norte
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130353;Presidente Figueiredo
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130356;Rio Preto da Eva
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130360;Santa Isabel do Rio Negro
13;AM;13001;RS Manaus, Entorno e Alto Rio Negro;130380;São Gabriel da Cachoeira
13;AM;13002;RS Rio Negro e Solimões;130008;Anamã
13;AM;13002;RS Rio Negro e Solimões;130010;Anori
13;AM;13002;RS Rio Negro e Solimões;130063;Beruri
13;AM;13002;RS Rio Negro e Solimões;130083;Caapiranga
13;AM;13002;RS Rio Negro e Solimões;130120;Coari
13;AM;13002;RS Rio Negro e Solimões;130130;Codajás
13;AM;13002;RS Rio Negro e Solimões;130250;Manacapuru
13;AM;13002;RS Rio Negro e Solimões;130320;Novo Airão
13;AM;13003;RS Rio Madeira;130014;Apuí
13;AM;13003;RS Rio Madeira;130080;Borba
13;AM;13003;RS Rio Madeira;130170;Humaitá
13;AM;13003;RS Rio Madeira;130270;Manicoré
13;AM;13003;RS Rio Madeira;130330;Novo Aripuanã
13;AM;13004;RS Médio Amazonas;130190;Itacoatiara
13;AM;13004;RS Médio Amazonas;130200;Itapiranga
13;AM;13004;RS Médio Amazonas;130395;São Sebastião do Uatumã
13;AM;13004;RS Médio Amazonas;130400;Silves
13;AM;13004;RS Médio Amazonas;130430;Urucará
13;AM;13004;RS Médio Amazonas;130440;Urucurituba
13;AM;13005;RS Baixo Amazonas;130050;Barreirinha
13;AM;13005;RS Baixo Amazonas;130068;Boa Vista do Ramos
13;AM;13005;RS Baixo Amazonas;130290;Maués
13;AM;13005;RS Baixo Amazonas;130300;Nhamundá
13;AM;13005;RS Baixo Amazonas;130340;Parintins
13;AM;13006;RS Regional Purus;130070;Boca do Acre
13;AM;13006;RS Regional Purus;130090;Canutama
13;AM;13006;RS Regional Purus;130240;Lábrea
13;AM;13006;RS Regional Purus;130350;Pauini
13;AM;13006;RS Regional Purus;130410;Tapauá
13;AM;13007;RS Regional Juruá;130100;Carauari
13;AM;13007;RS Regional Juruá;130140;Eirunepé
13;AM;13007;RS Regional Juruá;130150;Envira
13;AM;13007;RS Regional Juruá;130165;Guajará
13;AM;13007;RS Regional Juruá;130180;Ipixuna
13;AM;13007;RS Regional Juruá;130195;Itamarati
13;AM;13008;RS Triângulo;130002;Alvarães
13;AM;13008;RS Triângulo;130210;Japurá
13;AM;13008;RS Triângulo;130220;Juruá
13;AM;13008;RS Triângulo;130280;Maraã
13;AM;13008;RS Triângulo;130420;Tefé
13;AM;13008;RS Triângulo;130426;Uarini
13;AM;13009;RS Alto Solimões;130006;Amaturá
13;AM;13009;RS Alto Solimões;130020;Atalaia do Norte
13;AM;13009;RS Alto Solimões;130060;Benjamin Constant
13;AM;13009;RS Alto Solimões;130160;Fonte Boa
13;AM;13009;RS Alto Solimões;130230;Jutaí
13;AM;13009;RS Alto Solimões;130370;Santo Antônio do Içá
13;AM;13009;RS Alto Solimões;130390;São Paulo de Olivença
13;AM;13009;RS Alto Solimões;130406;Tabatinga
13;AM;13009;RS Alto Solimões;130423;Tonantins
14;RR;14001;RS Centro Norte;140002;Amajari
14;RR;14001;RS Centro Norte;140005;Alto Alegre
14;RR;14001;RS Centro Norte;140010;Boa Vista
14;RR;14001;RS Centro Norte;140015;Bonfim
14;RR;14001;RS Centro Norte;140017;Cantá
14;RR;14001;RS Centro Norte;140030;Mucajaí
14;RR;14001;RS Centro Norte;140040;Normandia
14;RR;14001;RS Centro Norte;140045;Pacaraima
14;RR;14001;RS Centro Norte;140070;Uiramutã
14;RR;14002;RS Sul;140020;Caracaraí
14;RR;14002;RS Sul;140023;Caroebe
14;RR;14002;RS Sul;140028;Iracema
14;RR;14002;RS Sul;140047;Rorainópolis
14;RR;14002;RS Sul;140050;São João da Baliza
14;RR;14002;RS Sul;140060;São Luiz
15;PA;15001;RS Araguaia;150034;Água Azul do Norte
15;PA;15001;RS Araguaia;150125;Bannach
15;PA;15001;RS Araguaia;150270;Conceição do Araguaia
15;PA;15001;RS Araguaia;150276;Cumaru do Norte
15;PA;15001;RS Araguaia;150304;Floresta do Araguaia
15;PA;15001;RS Araguaia;150543;Ourilândia do Norte
15;PA;15001;RS Araguaia;150555;Pau D Arco
15;PA;15001;RS Araguaia;150613;Redenção
15;PA;15001;RS Araguaia;150616;Rio Maria
15;PA;15001;RS Araguaia;150658;Santa Maria das Barreiras
15;PA;15001;RS Araguaia;150670;Santana do Araguaia
15;PA;15001;RS Araguaia;150730;São Félix do Xingu
15;PA;15001;RS Araguaia;150775;Sapucaia
15;PA;15001;RS Araguaia;150808;Tucumã
15;PA;15001;RS Araguaia;150840;Xinguara
15;PA;15002;RS Baixo Amazonas;150040;Alenquer
15;PA;15002;RS Baixo Amazonas;150050;Almeirim
15;PA;15002;RS Baixo Amazonas;150145;Belterra
15;PA;15002;RS Baixo Amazonas;150285;Curuá
15;PA;15002;RS Baixo Amazonas;150300;Faro
15;PA;15002;RS Baixo Amazonas;150390;Juruti
15;PA;15002;RS Baixo Amazonas;150475;Mojuí dos Campos
15;PA;15002;RS Baixo Amazonas;150480;Monte Alegre
15;PA;15002;RS Baixo Amazonas;150510;Óbidos
15;PA;15002;RS Baixo Amazonas;150530;Oriximiná
15;PA;15002;RS Baixo Amazonas;150565;Placas
15;PA;15002;RS Baixo Amazonas;150600;Prainha
15;PA;15002;RS Baixo Amazonas;150680;Santarém
15;PA;15002;RS Baixo Amazonas;150797;Terra Santa
15;PA;15003;RS Carajás;150013;Abel Figueiredo
15;PA;15003;RS Carajás;150157;Bom Jesus do Tocantins
15;PA;15003;RS Carajás;150175;Brejo Grande do Araguaia
15;PA;15003;RS Carajás;150215;Canaã dos Carajás
15;PA;15003;RS Carajás;150277;Curionópolis
15;PA;15003;RS Carajás;150293;Dom Eliseu
15;PA;15003;RS Carajás;150295;Eldorado dos Carajás
15;PA;15003;RS Carajás;150370;Itupiranga
15;PA;15003;RS Carajás;150420;Marabá
15;PA;15003;RS Carajás;150497;Nova Ipixuna
15;PA;15003;RS Carajás;150549;Palestina do Pará
15;PA;15003;RS Carajás;150553;Parauapebas
15;PA;15003;RS Carajás;150563;Piçarra
15;PA;15003;RS Carajás;150618;Rondon do Pará
15;PA;15003;RS Carajás;150715;São Domingos do Araguaia
15;PA;15003;RS Carajás;150745;São Geraldo do Araguaia
15;PA;15003;RS Carajás;150750;São João do Araguaia
15;PA;15004;RS Lago de Tucuruí;150178;Breu Branco
15;PA;15004;RS Lago de Tucuruí;150309;Goianésia do Pará
15;PA;15004;RS Lago de Tucuruí;150380;Jacundá
15;PA;15004;RS Lago de Tucuruí;150506;Novo Repartimento
15;PA;15004;RS Lago de Tucuruí;150795;Tailândia
15;PA;15004;RS Lago de Tucuruí;150810;Tucuruí
15;PA;15006;RS Metropolitana I;150080;Ananindeua
15;PA;15006;RS Metropolitana I;150140;Belém
15;PA;15006;RS Metropolitana I;150150;Benevides
15;PA;15006;RS Metropolitana I;150442;Marituba
15;PA;15006;RS Metropolitana I;150635;Santa Bárbara do Pará
15;PA;15007;RS Metropolitana II;150020;Acará
15;PA;15007;RS Metropolitana II;150190;Bujaru
15;PA;15007;RS Metropolitana II;150260;Colares
15;PA;15007;RS Metropolitana II;150275;Concórdia do Pará
15;PA;15007;RS Metropolitana II;150650;Santa Izabel do Pará
15;PA;15007;RS Metropolitana II;150700;Santo Antônio do Tauá
15;PA;15007;RS Metropolitana II;150710;São Caetano de Odivelas
15;PA;15007;RS Metropolitana II;150800;Tomé-Açu
15;PA;15007;RS Metropolitana II;150820;Vigia
15;PA;15008;RS Metropolitana III;150095;Aurora do Pará
15;PA;15008;RS Metropolitana III;150230;Capitão Poço
15;PA;15008;RS Metropolitana III;150240;Castanhal
15;PA;15008;RS Metropolitana III;150290;Curuçá
15;PA;15008;RS Metropolitana III;150307;Garrafão do Norte
15;PA;15008;RS Metropolitana III;150320;Igarapé-Açu
15;PA;15008;RS Metropolitana III;150340;Inhangapi
15;PA;15008;RS Metropolitana III;150345;Ipixuna do Pará
15;PA;15008;RS Metropolitana III;150350;Irituia
15;PA;15008;RS Metropolitana III;150405;Mãe do Rio
15;PA;15008;RS Metropolitana III;150410;Magalhães Barata
15;PA;15008;RS Metropolitana III;150430;Maracanã
15;PA;15008;RS Metropolitana III;150440;Marapanim
15;PA;15008;RS Metropolitana III;150495;Nova Esperança do Piriá
15;PA;15008;RS Metropolitana III;150550;Paragominas
15;PA;15008;RS Metropolitana III;150660;Santa Maria do Pará
15;PA;15008;RS Metropolitana III;150720;São Domingos do Capim
15;PA;15008;RS Metropolitana III;150740;São Francisco do Pará
15;PA;15008;RS Metropolitana III;150746;São João da Ponta
15;PA;15008;RS Metropolitana III;150760;São Miguel do Guamá
15;PA;15008;RS Metropolitana III;150796;Terra Alta
15;PA;15008;RS Metropolitana III;150812;Ulianópolis
15;PA;15009;RS Rio Caetés;150090;Augusto Corrêa
15;PA;15009;RS Rio Caetés;150160;Bonito
15;PA;15009;RS Rio Caetés;150170;Bragança
15;PA;15009;RS Rio Caetés;150195;Cachoeira do Piriá
15;PA;15009;RS Rio Caetés;150220;Capanema
15;PA;15009;RS Rio Caetés;150500;Nova Timboteua
15;PA;15009;RS Rio Caetés;150540;Ourém
15;PA;15009;RS Rio Caetés;150560;Peixe-Boi
15;PA;15009;RS Rio Caetés;150610;Primavera
15;PA;15009;RS Rio Caetés;150611;Quatipuru
15;PA;15009;RS Rio Caetés;150620;Salinópolis
15;PA;15009;RS Rio Caetés;150655;Santa Luzia do Pará
15;PA;15009;RS Rio Caetés;150690;Santarém Novo
15;PA;15009;RS Rio Caetés;150747;São João de Pirabas
15;PA;15009;RS Rio Caetés;150803;Tracuateua
15;PA;15009;RS Rio Caetés;150830;Viseu
15;PA;15010;RS Tapajós;150100;Aveiro
15;PA;15010;RS Tapajós;150360;Itaituba
15;PA;15010;RS Tapajós;150375;Jacareacanga
15;PA;15010;RS Tapajós;150503;Novo Progresso
15;PA;15010;RS Tapajós;150619;Rurópolis
15;PA;15010;RS Tapajós;150805;Trairão
15;PA;15011;RS Tocantins;150010;Abaetetuba
15;PA;15011;RS Tocantins;150120;Baião
15;PA;15011;RS Tocantins;150130;Barcarena
15;PA;15011;RS Tocantins;150210;Cametá
15;PA;15011;RS Tocantins;150330;Igarapé-Miri
15;PA;15011;RS Tocantins;150400;Limoeiro do Ajuru
15;PA;15011;RS Tocantins;150460;Mocajuba
