"Mun";"Cgr";"coduf";"sigla";"nome_uf";"nome_cgrs";"nomemunic"
"110001";"11005";"11";"RO";"Rondônia";"Zona da Mata";"Alta Floresta D'Oeste"
"110002";"11001";"11";"RO";"Rondônia";"Vale do Jamari";"Ariquemes"
"110003";"11006";"11";"RO";"Rondônia";"Cone Sul";"Cabixi"
"110004";"11002";"11";"RO";"Rondônia";"Café";"Cacoal"
"110005";"11006";"11";"RO";"Rondônia";"Cone Sul";"Cerejeiras"
"110006";"11006";"11";"RO";"Rondônia";"Cone Sul";"Colorado do Oeste"
"110007";"11006";"11";"RO";"Rondônia";"Cone Sul";"Corumbiara"
"110008";"11007";"11";"RO";"Rondônia";"Vale do Guaporé";"Costa Marques"
"110009";"11002";"11";"RO";"Rondônia";"Café";"Espigão D'Oeste"
"110010";"11004";"11";"RO";"Rondônia";"Madeira-Mamoré";"Guajará-Mirim"
"110011";"11003";"11";"RO";"Rondônia";"Central";"Jaru"
"110012";"11003";"11";"RO";"Rondônia";"Central";"Ji-Paraná"
"110013";"11001";"11";"RO";"Rondônia";"Vale do Jamari";"Machadinho D'Oeste"
"110014";"11005";"11";"RO";"Rondônia";"Zona da Mata";"Nova Brasilândia D'Oeste"
"110015";"11003";"11";"RO";"Rondônia";"Central";"Ouro Preto do Oeste"
"110018";"11002";"11";"RO";"Rondônia";"Café";"Pimenta Bueno"
"110020";"11004";"11";"RO";"Rondônia";"Madeira-Mamoré";"Porto Velho"
"110025";"11003";"11";"RO";"Rondônia";"Central";"Presidente Médici"
"110026";"11001";"11";"RO";"Rondônia";"Vale do Jamari";"Rio Crespo"
"110028";"11005";"11";"RO";"Rondônia";"Zona da Mata";"Rolim de Moura"
"110029";"11005";"11";"RO";"Rondônia";"Zona da Mata";"Santa Luzia D'Oeste"
"110030";"11006";"11";"RO";"Rondônia";"Cone Sul";"Vilhena"
"110032";"11003";"11";"RO";"Rondônia";"Central";"São Miguel do Guaporé"
"110033";"11004";"11";"RO";"Rondônia";"Madeira-Mamoré";"Nova Mamoré"
"110034";"11003";"11";"RO";"Rondônia";"Central";"Alvorada D'Oeste"
"110037";"11005";"11";"RO";"Rondônia";"Zona da Mata";"Alto Alegre dos Parecis"
"110040";"11001";"11";"RO";"Rondônia";"Vale do Jamari";"Alto Paraíso"
"110045";"11001";"11";"RO";"Rondônia";"Vale do Jamari";"Buritis"
"110050";"11005";"11";"RO";"Rondônia";"Zona da Mata";"Novo Horizonte do Oeste"
